metaedge,source_metanode,target_metanode
AdG,Anatomy,Gene
AeG,Anatomy,Gene
AuG,Anatomy,Gene
CbG,Compound,Gene
CcSE,Compound,SideEffect
CdG,Compound,Gene
CpD,Compound,Disease
CrC,Compound,Compound
CtD,Compound,Disease
CuG,Compound,Gene
DaG,Disease,Gene
DdG,Disease,Gene
DlA,Disease,Anatomy
DpS,Disease,Symptom
DrD,Disease,Disease
DuG,Disease,Gene
GcG,Gene,Gene
GiG,Gene,Gene
GpBP,Gene,BiologicalProcess
GpCC,Gene,CellularComponent
GpMF,Gene,MolecularFunction
GpPW,Gene,Pathway
GrG,Gene,Gene
PCiC,PharmacologicClass,Compound
CmC,Compound,Compound